term,sub_grade,grade,emp_length,issue_y,revol_util_n,int_rate_n,installment_n,tot_hi_cred_lim_n,dti_n,avg_cur_bal_n,all_util_n,acc_open_past_24mths_n,annual_inc_n,loan_amnt_n,loan_status
60 months,B4,B,2 years,15,35.2,10.99,347.8,74235,4.67,2178,100,7,46800,16000,Fully Paid
36 months,C1,C,10+ years,15,82.4,12.29,200.12,83360,31.55,4506,100,2,55000,6000,Fully Paid
36 months,A1,A,< 1 year,15,29.8,5.32,361.38,71800,4.07,3181,100,2,120000,12000,Fully Paid
60 months,C2,C,3 years,15,27.2,12.59,676.32,50533,10.64,2375,100,7,72000,30000,Charged Off
36 months,B2,B,6 years,15,66.2,9.17,382.55,396332,12.83,43410,100,2,48000,12000,Late (31-120 days)
36 months,A4,A,10+ years,15,98.4,7.26,464.95,642212,5.31,113233,100,3,180000,15000,Fully Paid
60 months,B4,B,5 years,15,70.7,10.99,347.8,46259,9.11,3971,100,5,102100,16000,Fully Paid
36 months,B2,B,5 years,15,70.5,9.17,356.25,65029,9.3,5856,72,5,142654.66,11175,Fully Paid
36 months,B2,B,4 years,15,96.7,9.17,318.79,76313,16.14,7138,100,0,75000,10000,Fully Paid
36 months,B1,B,2 years,15,81.9,8.18,260.79,36600,11.68,2620,100,2,90647,8300,Fully Paid
36 months,C3,C,10+ years,15,76,13.33,406.24,350749,17.83,15135,100,14,90000,12000,Fully Paid
36 months,A5,A,4 years,15,47.3,7.89,500.58,305868,25.25,13020,100,10,75000,16000,Fully Paid
36 months,A1,A,5 years,15,24.8,5.93,261.36,287265,13.69,29460,100,2,67500,8600,Fully Paid
36 months,A4,A,7 years,15,98.3,7.26,557.94,53537,24.19,7712,100,2,56500,18000,Fully Paid
36 months,A4,A,10+ years,15,96.4,6.92,370.09,59452,11.81,7401,100,2,108000,12000,Fully Paid
36 months,C3,C,< 1 year,15,59,13.66,301.02,89124,32.16,5951,100,7,68000,8850,Fully Paid
36 months,D3,D,< 1 year,15,42.2,16.99,260.23,23900,21.47,1262,100,6,19230.06,7300,Fully Paid
36 months,D3,D,10+ years,15,52.7,16.99,453.62,42679,31.04,2291,100,9,29000,12725,Fully Paid
36 months,B4,B,2 years,15,82.2,10.99,654.68,57895,26.14,3374,100,4,48000,20000,Fully Paid
36 months,C4,C,1 year,15,76.6,14.31,211.12,63419,17.24,6663,100,4,60000,6150,Fully Paid
36 months,D1,D,9 years,15,57.3,15.41,697.33,102200,17.01,10900,100,4,180000,20000,Charged Off
36 months,C4,C,2 years,15,56.8,13.99,341.73,45090,22.16,2319,100,10,41000,10000,Fully Paid
36 months,C2,C,< 1 year,15,44.8,12.59,393.59,442157,33.79,42032,43,3,70000,11750,Fully Paid
60 months,C5,C,10+ years,15,41.5,14.33,398.48,72108,27.08,1823,100,10,55000,17000,Charged Off
60 months,C2,C,7 years,15,84.4,12.59,631.23,374988,13.41,30206,100,2,170000,28000,Fully Paid
36 months,A1,A,< 1 year,15,33.9,5.32,632.42,1221711,9.21,90624,100,2,190000,21000,Fully Paid
60 months,B2,B,5 years,15,62.9,9.17,312.62,51110,18.25,4409,100,1,55000,15000,Fully Paid
36 months,B4,B,,15,21,10.99,145.67,76568,12.15,8807,100,4,16000,4450,Fully Paid
36 months,C3,C,,15,86.7,13.18,162.15,62296,18.59,6273,100,3,30800,4800,Charged Off
36 months,C2,C,5 years,15,58.9,12.59,318.22,44860,17.15,4107,100,5,46979,9500,Fully Paid
36 months,C1,C,,15,42.1,12.29,277.67,30900,23.93,1001,100,9,19956,8325,Fully Paid
36 months,A2,A,9 years,15,77.5,6.49,367.74,142325,14.59,40537,100,0,45000,12000,Fully Paid
36 months,B2,B,< 1 year,15,36.1,9.17,319.59,47674,16.91,3557,100,5,52000,10025,Fully Paid
60 months,D1,D,10+ years,15,92.1,15.41,331.28,37769,29.28,7602,100,0,30000,13800,Fully Paid
36 months,B3,B,9 years,15,44.3,9.99,483.94,319756,30.38,22298,100,2,60000,15000,Fully Paid
36 months,A1,A,8 years,15,14.1,5.32,180.69,319292,7.24,33088,100,2,85000,6000,Fully Paid
36 months,A3,A,1 year,15,0,6.89,258.95,145630,4.27,14526,100,6,67500,8400,Fully Paid
36 months,B2,B,4 years,15,56.5,9.17,478.19,84543,14.25,4807,100,3,57000,15000,Fully Paid
36 months,C4,C,10+ years,15,73.6,13.99,478.42,202710,17.01,18406,100,6,65000,14000,Fully Paid
36 months,A5,A,10+ years,15,8.3,8.19,62.85,95006,18.78,1942,100,5,61000,2000,Fully Paid
60 months,C3,C,2 years,15,67,13.33,366.76,55169,15.34,4491,100,4,75000,16000,Fully Paid
36 months,D4,D,10+ years,15,63.7,17.57,489.65,42700,36.39,1870,100,5,31000,13625,Fully Paid
36 months,A4,A,< 1 year,15,33.9,7.26,464.95,137803,10.01,3017,100,8,140000,15000,Fully Paid
36 months,B4,B,1 year,15,91.6,10.99,261.88,56216,21.74,4778,100,8,58000,8000,Fully Paid
36 months,C4,C,1 year,15,91.8,13.99,478.42,91379,36.04,5973,100,5,42500,14000,Fully Paid
36 months,A2,A,2 years,15,42,6.24,427.44,115857,23.75,4913,100,3,58200,14000,Fully Paid
60 months,B3,B,10+ years,15,51.1,9.99,361.12,85680,18.8,3773,100,6,80000,17000,Fully Paid
36 months,B2,B,2 years,15,96.3,9.17,318.79,32606,10.38,4787,100,2,72000,10000,Late (31-120 days)
36 months,A1,A,4 years,15,38.1,5.32,602.3,64000,9.35,5591,100,1,115000,20000,Fully Paid
36 months,A5,A,4 years,15,58.1,7.89,938.57,296020,14.67,24206,100,1,60000,30000,Fully Paid
60 months,B1,B,10+ years,15,90.8,8.18,358.39,472932,29.28,40971,100,5,90000,17600,Fully Paid
60 months,B3,B,5 years,15,58.3,9.99,509.82,223220,30.79,6914,100,1,62986,24000,Fully Paid
36 months,A3,A,10+ years,15,31.5,6.89,308.27,192641,28.58,11674,100,4,54000,10000,Fully Paid
60 months,F1,F,8 years,15,92.1,22.99,584.13,217918,18.58,16940,100,5,52000,20725,Charged Off
36 months,C3,C,,15,42.4,13.18,186.64,9800,12.51,831,100,3,21000,5525,Charged Off
36 months,B1,B,,15,90.9,8.18,219.94,89102,24.69,6825,100,2,90000,7000,Fully Paid
60 months,B3,B,2 years,15,19.6,9.99,594.78,123760,10.97,5901,100,9,86000,28000,Fully Paid
36 months,A4,A,8 years,15,72.2,7.26,446.35,141760,29.53,4732,100,13,64000,14400,Fully Paid
36 months,A3,A,< 1 year,15,38.8,6.68,172.1,146103,29.5,6414,100,3,50000,5600,Fully Paid
60 months,D2,D,8 years,15,95.1,16.55,451.62,17000,9.63,4043,100,3,45000,18350,Charged Off
36 months,A3,A,8 years,15,21.6,6.89,770.68,204507,26.74,9806,100,3,76000,25000,Fully Paid
36 months,B3,B,5 years,15,52.4,9.99,290.37,586014,14.09,21490,100,7,117000,9000,Fully Paid
36 months,C4,C,1 year,15,91.2,13.99,256.3,57965,23.42,8994,100,3,27000,7500,Fully Paid
36 months,B5,B,10+ years,15,98.9,11.48,197.8,70650,13.61,3614,107,8,38000,6000,Charged Off
36 months,B1,B,10+ years,15,25.3,8.18,251.36,96438,12.8,6946,100,6,80000,8000,Fully Paid
36 months,B3,B,1 year,15,52.6,9.99,1129.19,255433,16.43,19738,100,2,85000,35000,Fully Paid
36 months,C1,C,< 1 year,15,86.9,12.29,133.42,71104,29.33,5585,100,6,52000,4000,Fully Paid
36 months,A5,A,3 years,15,37.9,7.89,219,31814,33.58,1566,100,7,20800,7000,Fully Paid
36 months,C3,C,,15,82.6,13.66,680.26,48837,19.24,2717,100,2,74000,20000,Charged Off
36 months,C3,C,3 years,15,29,13.33,731.23,18200,6.06,755,100,1,43200,21600,Fully Paid
60 months,E5,E,10+ years,15,64.2,20.99,946.68,528454,13.57,90118,100,3,110000,35000,Fully Paid
36 months,B1,B,2 years,15,59.5,8.18,377.04,46283,10.86,3132,100,5,60320,12000,Fully Paid
36 months,C1,C,< 1 year,15,80.4,12.29,166.77,31950,6.99,2258,100,8,28000,5000,Fully Paid
60 months,C1,C,3 years,15,59.5,12.29,358.27,335026,27.55,13756,100,6,82000,16000,Fully Paid
60 months,C1,C,6 years,15,69.8,12.29,313.48,314671,11.96,28199,100,6,100098,14000,Fully Paid
60 months,B3,B,10+ years,15,81.1,9.99,594.78,116531,11.86,8399,100,5,80000,28000,Fully Paid
36 months,D1,D,8 years,15,64,15.61,842.66,38417,12.93,1269,100,6,84000,24100,Charged Off
36 months,A4,A,4 years,15,74.9,7.26,309.97,103224,19.52,5810,100,2,102000,10000,Fully Paid
36 months,C3,C,< 1 year,15,58.6,13.33,507.8,46936,22.74,3368,100,5,37000,15000,Fully Paid
36 months,A4,A,10+ years,15,44.7,6.92,709.34,383811,21.2,9863,100,5,100000,23000,Fully Paid
36 months,B4,B,4 years,15,54.9,10.99,261.88,20000,6.19,1830,100,2,65000,8000,Charged Off
36 months,A5,A,2 years,15,89.8,7.89,750.86,151013,18.14,10876,100,3,70000,24000,Charged Off
36 months,A1,A,4 years,15,43.7,5.32,451.73,38290,11.47,1329,100,12,100000,15000,Fully Paid
36 months,B3,B,2 years,15,68,9.99,96.79,47564,24.14,3020,100,1,90000,3000,Fully Paid
36 months,B1,B,10+ years,15,57,8.18,157.1,29025,25.94,2210,100,6,34000,5000,Fully Paid
36 months,C1,C,1 year,15,48.2,12.29,250.15,42648,28.46,2055,100,4,30000,7500,Fully Paid
36 months,C1,C,< 1 year,15,47.9,11.99,415.12,187042,15.42,11620,71,13,65000,12500,Fully Paid
36 months,C2,C,10+ years,15,56.1,12.69,272.56,251284,35.43,13612,100,0,40000,8125,Fully Paid
36 months,A4,A,2 years,15,75.1,7.26,309.97,78672,27.95,4559,93,1,37780,10000,Fully Paid
36 months,B5,B,< 1 year,15,70.1,11.53,1154.66,239803,20.32,8307,100,5,225000,35000,Fully Paid
36 months,C2,C,3 years,15,78.3,12.69,167.73,26300,23.36,2289,100,2,30000,5000,Charged Off
36 months,A2,A,< 1 year,15,32,6.24,201.51,245590,13.3,20772,100,5,88000,6600,Fully Paid
36 months,A4,A,2 years,15,73.4,7.26,340.96,66848,26.09,5709,100,2,55000,11000,Fully Paid
36 months,C1,C,8 years,15,33.2,12.39,467.62,41906,14.63,2564,100,6,36000,14000,Charged Off
36 months,A1,A,7 years,15,20.7,5.32,391.5,99520,10.43,4851,100,5,75000,13000,Fully Paid
36 months,A2,A,10+ years,15,19.9,6.24,457.97,204207,18.09,6325,100,8,55000,15000,Fully Paid
36 months,D3,D,10+ years,15,76,16.99,622.95,161884,24.27,7516,100,9,50000,17475,Fully Paid
36 months,B1,B,10+ years,15,68.5,8.38,378.15,194160,9,17634,100,1,90000,12000,Fully Paid
60 months,D1,D,5 years,15,46.7,15.61,289.34,277131,16.68,9494,100,12,30000,12000,Fully Paid
36 months,A2,A,10+ years,15,54.4,6.39,550.79,358372,29.97,18542,100,3,110000,18000,Fully Paid
36 months,B5,B,1 year,15,25,11.53,369.5,94630,19.73,3972,100,7,48000,11200,Fully Paid
36 months,C2,C,3 years,15,82.4,12.69,483.05,144214,19.71,12571,100,10,45000,14400,Fully Paid
60 months,B1,B,10+ years,15,67.3,8.18,549.8,328962,19.54,20711,100,5,63750,27000,Fully Paid
36 months,D1,D,5 years,15,48.6,15.61,524.48,468309,29.15,16663,100,6,65280.02,15000,Fully Paid
60 months,C1,C,,15,66.2,12.29,344.83,54058,30.32,4568,100,5,36528.96,15400,Fully Paid
36 months,C3,C,2 years,15,76.9,13.18,327.68,220200,19.71,12864,100,5,40000,9700,Charged Off
60 months,D4,D,10+ years,15,65.9,17.57,666.75,179788,37.17,7982,100,4,80000,26500,Charged Off
36 months,B1,B,1 year,15,32.5,8.18,62.84,106669,21.88,7063,100,4,34000,2000,Fully Paid
36 months,C2,C,1 year,15,74.8,12.69,503.18,72325,29.69,5483,100,3,49600,15000,Fully Paid
36 months,C5,C,2 years,15,58.4,14.48,404.34,32848,22.67,1396,43,7,35000,11750,Fully Paid
36 months,A4,A,10+ years,15,48,7.49,933.05,145370,17.58,4069,100,6,140000,30000,Fully Paid
36 months,A4,A,10+ years,15,64,7.26,201.48,224146,11.14,26709,100,5,68000,6500,Charged Off
36 months,A3,A,3 years,15,42.3,6.68,199.76,283989,20.41,21382,100,2,70000,6500,Fully Paid
36 months,A3,A,7 years,15,69.9,6.89,554.89,364874,18.61,22364,100,5,110000,18000,Fully Paid
36 months,C1,C,6 years,15,68.4,12.29,233.48,43576,20.64,4483,100,7,50000,7000,Fully Paid
36 months,A3,A,1 year,15,14.2,6.68,338.05,81900,18.08,3419,100,3,90000,11000,Fully Paid
36 months,C1,C,1 year,15,71.7,12.29,333.53,92995,28.79,11012,100,4,67600,10000,Fully Paid
36 months,B1,B,2 years,15,70.8,8.38,409.66,48628,13.88,5967,100,2,71000,13000,Fully Paid
60 months,C4,C,< 1 year,15,47.7,13.99,260.55,75780,29.74,4697,100,5,42000,11200,Charged Off
60 months,C4,C,10+ years,15,67,13.67,461.96,111157,17.28,9801,100,3,55000,20000,Fully Paid
36 months,C5,C,,15,33,14.65,137.98,10400,21.2,312,100,9,12000,4000,Charged Off
36 months,C3,C,1 year,15,45.5,13.33,507.8,143926,14.13,9777,100,6,80000,15000,Fully Paid
36 months,C2,C,4 years,15,75.6,12.99,50.54,188778,13.89,7439,100,2,190000,1500,Fully Paid
36 months,B1,B,6 years,15,51.6,8.38,283.61,11400,3.79,1961,100,3,57000,9000,Fully Paid
36 months,A2,A,3 years,15,18.6,6.39,550.79,102600,10.13,1731,100,3,60000,18000,Fully Paid
60 months,C4,C,,15,59.5,14.31,337.39,297051,10.01,14415,100,4,126000,14400,Fully Paid
36 months,D1,D,,15,63,15.61,402.1,18100,15.79,1426,100,2,25000,11500,Charged Off
36 months,B3,B,2 years,15,29,9.99,483.94,68223,26.53,5775,100,2,48000,15000,Fully Paid
36 months,A4,A,3 years,15,59,7.26,387.46,60109,11.6,3543,100,3,94700,12500,Fully Paid
36 months,D4,D,9 years,15,75.2,17.57,467.19,178800,31.7,13578,100,2,40660,13000,Fully Paid
36 months,A3,A,1 year,15,35.7,6.89,739.85,80560,19.65,6483,56,2,75000,24000,Fully Paid
36 months,C3,C,7 years,15,50.9,13.33,507.8,219694,29.36,5015,100,10,50000,15000,Fully Paid
60 months,D2,D,10+ years,15,74.3,16.55,369.17,192074,32.42,8991,100,8,61000,15000,Charged Off
36 months,C4,C,1 year,15,43.8,13.99,968.8,126345,26.45,2455,100,6,67500,28350,Fully Paid
36 months,A5,A,7 years,15,33.5,7.89,219,289871,16.4,14270,100,2,90000,7000,Fully Paid
60 months,C2,C,2 years,15,56.4,12.69,384.11,28900,7.46,4077,100,5,70000,17000,Charged Off
36 months,B5,B,7 years,15,14.1,11.53,118.77,44322,35.24,2809,100,6,25000,3600,Fully Paid
60 months,E2,E,9 years,15,94.7,18.55,899.28,232836,12.69,14504,100,3,100225,35000,Fully Paid
36 months,C2,C,< 1 year,15,25,12.69,174.44,12612,6.62,968,100,7,111000,5200,Fully Paid
36 months,B1,B,10+ years,15,61.6,8.18,565.56,247392,37.8,14385,100,2,80000,18000,Charged Off
36 months,A2,A,2 years,15,30.2,6.24,366.37,286146,8.76,29526,100,2,80000,12000,Fully Paid
36 months,B2,B,3 years,15,73.4,9.17,382.55,13914,4.18,1192,100,4,115000,12000,Fully Paid
60 months,D4,D,10+ years,15,66.7,17.57,452.89,58210,20.28,4004,100,6,70000,18000,Fully Paid
36 months,B2,B,2 years,15,68.5,9.17,701.34,77720,18.61,3686,100,6,82000,22000,Fully Paid
36 months,D1,D,,15,44,15.61,349.65,390890,20.44,25291,100,11,60000,10000,Fully Paid
36 months,B5,B,10+ years,15,45.9,11.53,659.81,195447,14.09,10794,100,4,57590,20000,Fully Paid
36 months,A5,A,1 year,15,60.5,7.89,1095,82136,13.08,7112,100,2,150000,35000,Fully Paid
36 months,B5,B,3 years,15,19.9,11.53,448.67,141863,28.49,6683,100,6,32000,13600,Fully Paid
36 months,C3,C,10+ years,15,54.9,13.33,1184.86,335606,9.98,27230,100,1,95000,35000,Fully Paid
60 months,C5,C,2 years,15,80.2,14.65,330.5,61358,12.23,3347,100,9,150000,14000,Charged Off
36 months,B1,B,< 1 year,15,53,8.18,471.3,79952,25.53,3881,100,5,48000,15000,Fully Paid
60 months,D5,D,9 years,15,94.6,17.86,303.81,185908,23.06,17744,100,7,60000,12000,Late (31-120 days)
36 months,B5,B,9 years,15,64.2,11.53,494.86,144598,13.89,27657,100,0,40000,15000,Charged Off
36 months,B3,B,9 years,15,35,9.99,225.84,16500,8.87,962,100,5,44000,7000,Fully Paid
36 months,E2,E,5 years,15,76.2,19.24,502.02,15000,9.14,2287,100,2,36000,13650,Fully Paid
36 months,B2,B,10+ years,15,57.6,9.17,446.31,225448,17.18,16276,100,1,60000,14000,Fully Paid
36 months,C1,C,5 years,15,48,12.39,501.02,37448,16.44,2179,100,2,43000,15000,Fully Paid
36 months,D3,D,8 years,15,50.7,16.99,534.72,588790,8.65,46833,100,12,90000,15000,Fully Paid
36 months,D4,D,2 years,15,93.3,17.14,217.02,234780,36.82,26081,100,1,32500,6075,Charged Off
